ALPK3,Estapar,165.600,4,81,-0,82%
SLED4,Saraiva,165.400,2,16,+0,47%
TFCO4,Track & Field,161.300,13,61,-1,31%
ETER3,Eternit,157.700,9,15,+1,44%
SHUL4,Schulz,151.600,7,28,-0,27%
SGPS3,Springs,141.600,2,26,-0,44%
USIM3,Usiminas,126.800,6,95,-1,42%
TECN3,Technos,124.900,3,25,-2,69%
TCSA3,Tecnisa,114.200,3,55,-2,74%
TGMA3,Tegma,111.300,25,15,+0,56%
POMO3,Marcopolo,106.800,4,67,-1,27%
LVTC3,WDC Networks,102.100,4,62,-3,55%
RNEW3,Renova Energia,97.800,1,40,-1,41%
DESK3,Desktop,96.400,14,80,-1,46%
ITSA3,Itaúsa,93.700,9,36,-0,64%
DEXP3,Dexxos,91.900,10,65,-1,11%
PRNR3,Priner,91.100,10,80,-1,19%
LOGN3,Log-In,88.700,42,75,-0,65%
PDGR3,PDG Realty,85.300,5,13,+3,43%
BRPR3,BR Properties,73.300,71,61,-0,33%
DOTZ3,Dotz,73.100,1,22,+0,00%
OIBR4,Oi,70.400,2,16,-3,57%
PDTC3,Padtec,70.100,2,47,-2,37%
BRAP3,Bradespar,67.000,19,82,-1,78%
GGBR3,Gerdau,66.600,23,09,-0,99%
RSID3,Rossi Residencial,64.300,4,54,+1,79%
SHOW3,Time For Fun,56.500,2,67,-2,20%
LPSB3,Lopes,55.000,2,88,+0,70%
CTSA4,Santanense,50.800,2,04,-8,52%
HAGA3,Haga,50.200,2,87,+0,70%
ATMP3,Atma,48.400,2,08,-1,89%
GOAU3,Metalúrgica Gerdau,47.900,11,49,-2,30%
TPIS3,Triunfo,44.400,3,81,+1,87%
LAND3,Terra Santa,42.800,24,04,-1,88%
BRKM3,Braskem,42.400,23,48,-1,76%
CSUD3,CSU Cardsystem,41.100,15,55,-0,96%
RNEW4,Renova Energia,37.300,1,46,-1,35%
INEP3,Inepar,36.600,3,95,-2,95%
AGXY3,AgroGalaxy,33.600,4,85,-3,00%
APER3,Alper,33.300,29,63,-4,11%
PFRM3,Profarma,33.300,3,76,+1,62%
ALUP4,Alupar,31.000,9,41,-0,21%
ALUP3,Alupar,29.100,9,38,-0,53%
ALLD3,Allied,28.900,6,55,-1,80%
RPMG3,Refinaria de Manguinhos,28.700,2,21,-2,64%
IGTI3,Jereissati Participações,28.200,2,78,+0,72%
IGTI3,Iguatemi,28.200,2,78,+0,72%
EUCA4,Eucatex,27.700,12,65,-0,39%
PMAM3,Paranapanema,22.400,5,03,+0,20%
CAMB3,Cambuci,21.300,10,35,-1,90%
EPAR3,EPAR3,20.100,13,50,+6,30%
VSTE3,LE LIS BLANC,19.700,17,86,-5,50%
MNPR3,Minupar,16.300,16,14,+0,88%
BOBR4,Bombril,15.400,1,90,+0,00%
ENGI4,Energisa,14.800,7,89,-0,75%
TASA3,Taurus,14.500,14,74,-1,07%
FHER3,Fertilizantes Heringer,14.000,12,40,-0,64%
COCE5,Coelce,13.200,48,00,-2,28%
ALPA3,Alpargatas,12.900,9,95,+6,19%
OFSA3,Ourofino Saúde Animal,12.700,23,45,-0,26%
PTNT4,Pettenati,12.700,7,37,+1,10%
INEP4,Inepar,12.400,3,23,-1,52%
UNIP3,Unipar,11.500,70,59,-1,64%
BEES3,Banestes,11.400,8,75,-1,13%
HAGA4,Haga,11.300,1,42,+0,71%
ENGI3,Energisa,10.900,15,99,-0,62%
BMEB4,Banco Mercantil do Brasil,10.600,13,00,+0,00%
RAPT3,Randon,10.600,9,64,-0,92%
CGRA3,Grazziotin,9.600,25,75,-0,16%
JFEN3,João Fortes,9.500,2,84,+4,03%
BAHI3,Bahema,9.200,8,75,-6,42%
EQPA3,Equatorial Energia Pará,8.700,6,16,+1,82%
ATOM3,ATOM,8.700,2,30,-2,13%
DMVF3,D1000 Varejo Farma,8.300,4,81,+0,84%
RDNI3,RNI,7.900,5,35,-4,63%
CEDO4,Cedro Têxtil,7.400,17,00,+0,06%
CRPG6,Tronox Pigmentos,7.200,27,70,-1,11%
CEBR6,CEB,7.200,14,28,+1,35%
BRSR3,Banrisul,7.000,13,15,-0,30%
UCAS3,Unicasa,6.900,2,67,+0,00%
BEES4,Banestes,6.200,9,76,-1,81%
CLSC4,Celesc,6.100,64,22,-0,43%
CGRA4,Grazziotin,5.700,27,27,-0,69%
TELB4,Telebras,5.200,12,47,+2,21%
REDE3,Rede Energia,4.400,5,65,+0,36%
CEBR3,CEB,4.300,13,19,+0,69%
SCAR3,São Carlos,4.200,24,60,-0,77%
EALT4,Electro Aço Altona,3.700,9,28,+0,22%
BAZA3,Banco da Amazônia,3.500,69,46,+1,25%
ENMT3,Energisa MT,3.500,49,70,+8,04%
BPAC5,Banco BTG Pactual,3.500,8,11,-0,73%
SNSY5,Sansuy,3.000,4,04,+0,25%
CTSA3,Santanense,3.000,2,92,-3,63%
CTNM4,Coteminas,2.900,2,28,-0,44%
CEBR5,CEB,2.800,13,50,-0,22%
WLMM4,WLM,2.600,34,45,+0,55%
CRPG5,Tronox Pigmentos,2.500,37,10,+4,95%
BPAC3,Banco BTG Pactual,2.400,14,24,-0,97%
HETA4,Hercules,2.400,6,40,+6,14%
GEPA4,Rio Paranapanema Energia,2.200,26,00,-1,81%
HOOT4,Hotéis Othon,2.200,2,28,-1,72%
CEDO3,Cedro Têxtil,2.100,22,87,-0,57%
DEXP4,Dexxos,2.000,9,50,+0,00%
RPAD5,Alfa Holdings,2.000,7,03,+0,29%
MTSA4,METISA,1.900,51,49,-0,71%
BGIP4,Banese,1.800,22,70,-7,91%
BIOM3,Biomm,1.700,5,79,-2,69%
WHRL4,Whirlpool,1.700,4,91,+0,20%
MWET4,Wetzel,1.600,9,58,-0,93%
EALT3,Electro Aço Altona,1.500,8,80,-4,35%
FRTA3,Pomi Frutas,1.500,2,44,+1,24%
RSUL4,Metalúrgica Riosulense,1.300,61,02,-1,12%
CTKA4,Karsten,1.200,12,00,-5,81%
TELB3,Telebras,1.100,16,95,+0,30%
MERC4,Mercantil do Brasil Financeira,1.100,7,33,-0,14%
AVLL3,Alphaville,1.100,5,95,-4,03%
SNSY3,Sansuy,1.100,5,18,-1,89%
TRPL3,Transmissão Paulista,1.000,32,41,-0,25%
BRGE3,Consórcio Alfa,1.000,9,72,-2,80%
BGIP3,Banese,900,23,34,-0,68%
PEAB3,Participações Aliança da Bahia,800,33,99,-8,11%
SLED3,Saraiva,800,6,12,-1,77%
TEKA4,Teka,700,17,50,-5,35%
CRIV4,Alfa Financeira,700,5,45,-1,09%
MGEL4,Mangels,600,16,50,+0,00%
BAUH4,Excelsior,500,71,00,-2,04%
BALM4,Baumer,500,9,80,+2,08%
NEXP3,Brasil Brokers,500,6,21,-2,51%
DOHL4,Döhler,500,5,78,+1,40%
OSXB3,OSX Brasil,500,4,58,+3,62%
CTNM3,Coteminas,400,9,49,-0,32%
CRIV3,Alfa Financeira,400,5,51,+5,35%
WHRL3,Whirlpool,400,4,81,+0,00%
ENMT4,Energisa MT,300,52,11,-1,46%
MNDL3,Mundial,300,50,00,-0,99%
EQMA3B,Equatorial Maranhão,300,27,99,+1,34%
BRIV4,Alfa Investimento,300,10,90,+0,93%
EMAE4,EMAE,200,57,97,+1,47%
CEEB3,COELBA,200,41,30,+0,61%
MWET3,Wetzel,200,13,29,+0,08%
BRGE8,Consórcio Alfa,200,10,10,+0,00%
BALM3,Baumer,200,9,68,+1,57%
PTNT3,Pettenati,200,9,47,-0,11%
MOAR3,Monteiro Aranha,100,310,00,+0,05%
CGAS5,Comgás,100,128,05,+0,01%
BNBR3,Banco do Nordeste,100,94,00,+4,44%
UNIP5,Unipar,100,89,98,+0,00%
EKTR4,Elektro,100,39,39,-1,30%
PATI3,Panatlântica,100,25,00,+0,00%
BMIN4,Banco Mercantil de Investimentos,100,14,08,-1,19%
BDLL4,Bardella,100,9,60,-2,04%
IGTI4,Jereissati Participações,100,9,06,+0,11%
IGTI4,Iguatemi,100,9,06,+0,11%
RPAD6,Alfa Holdings,100,7,50,+10,13%
BMKS3,Monark,16,329,00,+1,23%
BRGE12,Consórcio Alfa,11.100,9,90,+0,00%
EUCA3,Eucatex,1.700,17,03,+0,00%
BMEB3,Banco Mercantil do Brasil,400,14,17,+0,14%
PLAS3,Plascar,400,7,60,-5,00%
RPAD3,Alfa Holdings,400,6,87,-8,28%
AFLT3,Afluente T,200,9,24,-2,74%
CPLE5,Copel,100,29,50,+7,66%
CALI3,Adolpho Lindenberg,100,14,50,+0,00%
PINE3,PINE,100,4,15,+176,67%
BRIV3,Alfa Investimento,1.400,10,51,-1,78%
ESTR4,Estrela,1.100,6,00,-9,09%
FIEI3,FIEI3,700,15,00,+6,76%
BSLI4,Banco de Brasília,300,11,52,+0,09%
